axis1,axis2,has_valid_solution,solutions_count
0.0148353,-3.07876,1,1
0.0148353,-3.01593,1,1
0.0148353,-2.9531,1,1
0.0148353,-2.89027,1,1
0.0148353,-2.82743,1,1
0.0148353,-2.7646,1,1
0.0148353,-2.70177,0,0
0.0148353,-2.63894,0,0
0.0148353,-2.57611,0,0
0.0148353,-2.51327,0,0
0.0148353,-2.45044,0,0
0.0148353,-2.38761,0,0
0.0148353,-2.32478,0,0
0.0148353,-2.26195,0,0
0.0148353,-2.19911,0,0
0.0148353,-2.13628,0,0
0.0148353,-2.07345,0,0
0.0148353,-2.01062,0,0
0.0148353,-1.94779,0,0
0.0148353,-1.88496,0,0
0.0148353,-1.82212,0,0
0.0148353,-1.75929,0,0
0.0148353,-1.69646,0,0
0.0148353,-1.63363,0,0
0.0148353,-1.5708,0,0
0.0148353,-1.50796,0,0
0.0148353,-1.44513,0,0
0.0148353,-1.3823,0,0
0.0148353,-1.31947,0,0
0.0148353,-1.25664,0,0
0.0148353,-1.19381,0,0
0.0148353,-1.13097,0,0
0.0148353,-1.06814,0,0
0.0148353,-1.00531,0,0
0.0148353,-0.942478,0,0
0.0148353,-0.879646,0,0
0.0148353,-0.816814,0,0
0.0148353,-0.753982,0,0
0.0148353,-0.69115,0,0
0.0148353,-0.628319,0,0
0.0148353,-0.565487,0,0
0.0148353,-0.502655,0,0
0.0148353,-0.439823,1,1
0.0148353,-0.376991,0,0
0.0148353,-0.314159,0,0
0.0148353,-0.251327,0,0
0.0148353,-0.188496,0,0
0.0148353,-0.125664,0,0
0.0148353,-0.0628319,0,0
0.0148353,4.44089e-16,0,0
0.0148353,0.0628319,1,1
0.0148353,0.125664,1,1
0.0148353,0.188496,1,1
0.0148353,0.251327,1,1
0.0148353,0.314159,1,1
0.0148353,0.376991,1,1
0.0148353,0.439823,0,0
0.0148353,0.502655,0,0
0.0148353,0.565487,0,0
0.0148353,0.628319,0,0
0.0148353,0.69115,0,0
0.0148353,0.753982,0,0
0.0148353,0.816814,0,0
0.0148353,0.879646,0,0
0.0148353,0.942478,0,0
0.0148353,1.00531,0,0
0.0148353,1.06814,0,0
0.0148353,1.13097,0,0
0.0148353,1.19381,0,0
0.0148353,1.25664,0,0
0.0148353,1.31947,0,0
0.0148353,1.3823,0,0
0.0148353,1.44513,0,0
0.0148353,1.50796,0,0
0.0148353,1.5708,0,0
0.0148353,1.63363,0,0
0.0148353,1.69646,0,0
0.0148353,1.75929,0,0
0.0148353,1.82212,0,0
0.0148353,1.88496,0,0
0.0148353,1.94779,0,0
0.0148353,2.01062,0,0
0.0148353,2.07345,0,0
0.0148353,2.13628,0,0
0.0148353,2.19911,0,0
0.0148353,2.26195,0,0
0.0148353,2.32478,0,0
0.0148353,2.38761,0,0
0.0148353,2.45044,0,0
0.0148353,2.51327,0,0
0.0148353,2.57611,0,0
0.0148353,2.63894,0,0
0.0148353,2.70177,1,1
0.0148353,2.7646,0,0
0.0148353,2.82743,0,0
0.0148353,2.89027,0,0
0.0148353,2.9531,0,0
0.0148353,3.01593,0,0
0.0148353,3.07876,0,0
0.0148353,3.14159,0,0
0.0296706,-3.07876,1,1
0.0296706,-3.01593,1,1
0.0296706,-2.9531,1,1
0.0296706,-2.89027,1,1
0.0296706,-2.82743,1,1
0.0296706,-2.7646,1,1
0.0296706,-2.70177,1,1
0.0296706,-2.63894,0,0
0.0296706,-2.57611,0,0
0.0296706,-2.51327,0,0
0.0296706,-2.45044,0,0
0.0296706,-2.38761,0,0
0.0296706,-2.32478,0,0
0.0296706,-2.26195,0,0
0.0296706,-2.19911,0,0
0.0296706,-2.13628,0,0
0.0296706,-2.07345,0,0
0.0296706,-2.01062,0,0
0.0296706,-1.94779,0,0
0.0296706,-1.88496,0,0
0.0296706,-1.82212,0,0
0.0296706,-1.75929,0,0
0.0296706,-1.69646,0,0
0.0296706,-1.63363,0,0
0.0296706,-1.5708,0,0
0.0296706,-1.50796,0,0
0.0296706,-1.44513,0,0
0.0296706,-1.3823,0,0
0.0296706,-1.31947,0,0
0.0296706,-1.25664,0,0
0.0296706,-1.19381,0,0
0.0296706,-1.13097,0,0
0.0296706,-1.06814,0,0
0.0296706,-1.00531,0,0
0.0296706,-0.942478,0,0
0.0296706,-0.879646,0,0
0.0296706,-0.816814,0,0
0.0296706,-0.753982,0,0
0.0296706,-0.69115,0,0
0.0296706,-0.628319,0,0
0.0296706,-0.565487,0,0
0.0296706,-0.502655,0,0
0.0296706,-0.439823,1,1
0.0296706,-0.376991,0,0
0.0296706,-0.314159,0,0
0.0296706,-0.251327,0,0
0.0296706,-0.188496,0,0
0.0296706,-0.125664,0,0
0.0296706,-0.0628319,0,0
0.0296706,4.44089e-16,0,0
0.0296706,0.0628319,1,1
0.0296706,0.125664,1,1
0.0296706,0.188496,1,1
0.0296706,0.251327,1,1
0.0296706,0.314159,1,1
0.0296706,0.376991,1,1
0.0296706,0.439823,1,1
0.0296706,0.502655,0,0
0.0296706,0.565487,0,0
0.0296706,0.628319,0,0
0.0296706,0.69115,0,0
0.0296706,0.753982,0,0
0.0296706,0.816814,0,0
0.0296706,0.879646,0,0
0.0296706,0.942478,0,0
0.0296706,1.00531,0,0
0.0296706,1.06814,0,0
0.0296706,1.13097,0,0
0.0296706,1.19381,0,0
0.0296706,1.25664,0,0
0.0296706,1.31947,0,0
0.0296706,1.3823,0,0
0.0296706,1.44513,0,0
0.0296706,1.50796,0,0
0.0296706,1.5708,0,0
0.0296706,1.63363,0,0
0.0296706,1.69646,0,0
0.0296706,1.75929,0,0
0.0296706,1.82212,0,0
0.0296706,1.88496,0,0
0.0296706,1.94779,0,0
0.0296706,2.01062,0,0
0.0296706,2.07345,0,0
0.0296706,2.13628,0,0
0.0296706,2.19911,0,0
0.0296706,2.26195,0,0
0.0296706,2.32478,0,0
0.0296706,2.38761,0,0
0.0296706,2.45044,0,0
0.0296706,2.51327,0,0
0.0296706,2.57611,0,0
0.0296706,2.63894,0,0
0.0296706,2.70177,1,1
0.0296706,2.7646,0,0
0.0296706,2.82743,0,0
0.0296706,2.89027,0,0
0.0296706,2.9531,0,0
0.0296706,3.01593,0,0
0.0296706,3.07876,0,0
0.0296706,3.14159,0,0
0.0445059,-3.07876,0,0
0.0445059,-3.01593,1,1
0.0445059,-2.9531,1,1
0.0445059,-2.89027,1,1
0.0445059,-2.82743,1,1
0.0445059,-2.7646,1,1
0.0445059,-2.70177,1,1
0.0445059,-2.63894,0,0
0.0445059,-2.57611,0,0
0.0445059,-2.51327,0,0
0.0445059,-2.45044,0,0
0.0445059,-2.38761,0,0
0.0445059,-2.32478,0,0
0.0445059,-2.26195,0,0
0.0445059,-2.19911,0,0
0.0445059,-2.13628,0,0
0.0445059,-2.07345,0,0
0.0445059,-2.01062,0,0
0.0445059,-1.94779,0,0
0.0445059,-1.88496,0,0
0.0445059,-1.82212,0,0
0.0445059,-1.75929,0,0
0.0445059,-1.69646,0,0
0.0445059,-1.63363,0,0
0.0445059,-1.5708,0,0
0.0445059,-1.50796,0,0
